"id","code","name","type","user_type:id","parent_id:id","reconcile"
"ves123000",123000,"Opening Expense Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves124000",124000,"Notes Payable","Regular","account.data_account_type_liability","ves12","FALSE"
"ves125000",125000,"Short-term loans","Regular","account.data_account_type_liability","ves12","FALSE"
"ves126000",126000,"Other payables","Regular","account.data_account_type_liability","ves12","FALSE"
"ves126100",126100,"Vehicles (1)","Regular","account.data_account_type_liability","ves12","FALSE"
"ves126200",126200,"Vehicles (2)","Regular","account.data_account_type_liability","ves12","FALSE"
"ves126300",126300,"Vehicles (3)","Regular","account.data_account_type_liability","ves12","FALSE"
"ves127000",127000,"Shareholders Loan Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves127100",127100,"G Robertson - Loan Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves127200",127200,"GR Robertson - Loan Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves128000",128000,"Accrued and Deferred items","Regular","account.data_account_type_liability","ves12","FALSE"
"ves129000",129000,"Suspense Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves130000",130000,"Equity","Regular","account.conf_account_type_equity","ves1","FALSE"
"ves2",2,"Profit and Loss","View","account.data_account_type_view","ves0","FALSE"
"ves20",20,"Revenue","View","account.account_type_income_view1","ves2","FALSE"
"ves200000",200000,"Product Sales","Regular","account.data_account_type_income","ves20","FALSE"
"ves201000",201000,"Electric Power Generation","View","account.data_account_type_income","ves200000","FALSE"
"ves201100",201100,"Alternators","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201200",201200,"Engines","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201300",201300,"CKD","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201400",201400,"Heat Exchangers","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201500",201500,"Instrumentation","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201600",201600,"Panels","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201700",201700,"Transfer Switches","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201800",201800,"Load Banks","Regular","account.data_account_type_income","ves201000","FALSE"
"ves201900",201900,"Generators (Complete)","Regular","account.data_account_type_income","ves201000","FALSE"
"ves202000",202000,"Electro-Mechanical Power Transmission","View","account.data_account_type_income","ves200000","FALSE"
"ves202100",202100,"Electric Motors","Regular","account.data_account_type_income","ves202000","FALSE"
"ves202200",202200,"Variable Speed Drives","Regular","account.data_account_type_income","ves202000","FALSE"
"ves202300",202300,"Power Transmission","Regular","account.data_account_type_income","ves202000","FALSE"
"ves203000",203000,"Spare Parts","Regular","account.data_account_type_income","ves202000","FALSE"
"ves204000",204000,"Service And Maintenance","View","account.data_account_type_income","ves20","FALSE"
"ves204100",204100,"Labour","Regular","account.data_account_type_income","ves204000","FALSE"
"ves204200",204200,"Consumables","Regular","account.data_account_type_income","ves204000","FALSE"
"ves204300",204300,"Engineering Services","Regular","account.data_account_type_income","ves204000","FALSE"
"ves204400",204400,"Service Options","Regular","account.data_account_type_income","ves204000","FALSE"
"ves205000",205000,"Training","Regular","account.data_account_type_income","ves20","FALSE"
"ves206000",206000,"Project Management Fees","Regular","account.data_account_type_income","ves20","FALSE"
"ves207000",207000,"Commissions","Regular","account.data_account_type_income","ves20","FALSE"
"ves208000",208000,"Contracts","Regular","account.data_account_type_income","ves20","FALSE"
